"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"2","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"3","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"5","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"6","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"7","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"8","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"9","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"10","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"11","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"12","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"13","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"16","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"19","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"21","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"23","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"24","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"25","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"26","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"27","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"28","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"30","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"32","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"34","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"35","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"37","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","e"
"38","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"40","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"41","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"42","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"43","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"44","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"45","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"48","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"49","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"50","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"52","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"54","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"55","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"56","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"59","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"60","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","e"
"61","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","e"
"62","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"63","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"64","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"65","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"66","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"67","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"70","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"71","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"72","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
